Artist,Label
Fabolous,Warner Music Group
Faith No More,Warner Music Group
Faster Pussycat,Warner Music Group
Fat Joe,Warner Music Group
Fat Trel,Warner Music Group
Fatboy Slim,Warner Music Group
Fats Domino,Warner Music Group
Fay Ray,Warner Music Group
"Fear, and Loathing in Las Vegas",Warner Music Group
Felip,Warner Music Group
Fetty Wap,Warner Music Group
Lupe Fiasco,Warner Music Group
F.I.R.,Warner Music Group
Filippa Giordano,Warner Music Group
Flaming Lips,Warner Music Group
Flanders & Swann,Warner Music Group
Fleetwood Mac,Warner Music Group
Flotsam and Jetsam,Warner Music Group
Florent Mothe,Warner Music Group
Flo Rida,Warner Music Group
Khalil Fong,Warner Music Group
Fort Minor,Warner Music Group
The Fourmost,Warner Music Group
Frankie Ballard,Warner Music Group
The Four Seasons,Warner Music Group
Aretha Franklin,Warner Music Group
Stan Freberg,Warner Music Group
Freezepop,Warner Music Group
Frente!,Warner Music Group
Frightened Rabbit,Warner Music Group
Foreigner,Warner Music Group
Foy Vance,Warner Music Group
Front Line Assembly,Warner Music Group
Funeral for a Friend,Warner Music Group
Fear Factory,Warner Music Group
F.T. Island,Warner Music Group
Fun.,Warner Music Group
Gabrielle Aplin,Warner Music Group
Galneryus,Warner Music Group
Garbage,Warner Music Group
Gass,Warner Music Group
Genesis,Warner Music Group
George,Warner Music Group
Georgi Kay,Warner Music Group
The Georgia Satellites,Warner Music Group
Gerard Way,Warner Music Group
Gesaffelstein,Warner Music Group
Jimmie Dale Gilmore,Warner Music Group
Glassjaw,Warner Music Group
Glenn Frey,Warner Music Group
Gloriana,Warner Music Group
Gojira,Warner Music Group
Goldfrapp,Warner Music Group
Goo Goo Dolls,Warner Music Group
The Good Natured,Warner Music Group
"The Good, the Bad & the Queen",Warner Music Group
Gorilla Zoe,Warner Music Group
Gorillaz,Warner Music Group
Got7,Warner Music Group
Graham Coxon,Warner Music Group
Amy Grant,Warner Music Group
The Grateful Dead,Warner Music Group
David Gray,Warner Music Group
Green Day,Warner Music Group
Nanci Griffith,Warner Music Group
Josh Groban,Warner Music Group
Guan Zhe,Warner Music Group
Gucci Mane,Warner Music Group
Guilherme Arantes,Warner Music Group
Günther & The Sunshine Girls,Warner Music Group
Gwar,Warner Music Group
Gyllene Tider,Warner Music Group
Gym Class Heroes,Warner Music Group
Gyroscope,Warner Music Group
HammerFall,Warner Music Group
Hale,Warner Music Group
Halestorm,Warner Music Group
Hatebreed,Warner Music Group
Hayley Williams,Warner Music Group
Jam Hsiao,Warner Music Group
Bill Haley and His Comets,Warner Music Group
Johnny Hallyday,Warner Music Group
Hard-Fi,Warner Music Group
Heaven & Hell,Warner Music Group
Helloween,Warner Music Group
Sara Hickman,Warner Music Group
Faith Hill,Warner Music Group
Paris Hilton,Warner Music Group
Ryoko Hirosue,Warner Music Group
HIM,Warner Music Group
Home and Away,Warner Music Group
Hoodoo Gurus,Warner Music Group
Hootie and the Blowfish,Warner Music Group
The Housemartins,Warner Music Group
Huang Zitao,Warner Music Group
Hunter Hayes,Warner Music Group
Vivian Hsu,Warner Music Group
Ill Niño,Warner Music Group
In Flames<reIn This Moment,Warner Music Group
Ilya,Warner Music Group
Natalie Imbruglia,Warner Music Group
Indah Nevertari,Warner Music Group
Inner Circle,Warner Music Group
James Ingram,Warner Music Group
Irene Cara,Warner Music Group
Iron & Wine,Warner Music Group
Iron Maiden,Warner Music Group
INNA,Warner Music Group
Isabella Castillo,Warner Music Group
The Isley Brothers,Warner Music Group
IU,Warner Music Group
IV of Spades,Warner Music Group
Izna,Warner Music Group
Jack Ü,Warner Music Group
Jake Miller,Warner Music Group
Jamie,Warner Music Group
James Hype,Warner Music Group
Janelle Monáe,Warner Music Group
Janice Vidal,Warner Music Group
Jasmine Guy,Warner Music Group
Jasmine Thompson,Warner Music Group
Jason Mraz,Warner Music Group
Jason Newsted,Warner Music Group
Jay-Z,Warner Music Group
JJ Lin,Warner Music Group
Jolin Tsai,Warner Music Group
Jesse & Joy,Warner Music Group
Jin Akanishi,Warner Music Group
JYJ,Warner Music Group
JLS,Warner Music Group
Jack's Mannequin,Warner Music Group
Colin James,Warner Music Group
Etta James,Warner Music Group
Jane's Addiction,Warner Music Group
Jean-Michel Jarre,Warner Music Group
Ben Jelen,Warner Music Group
Jemaine Clement,Warner Music Group
Katherine Jenkins,Warner Music Group
Jenny Lewis,Warner Music Group
Jess Glynne,Warner Music Group
Jess Lee,Warner Music Group
Jess Mills,Warner Music Group
Jesse Leach,Warner Music Group
Jet,Warner Music Group
Jethro Tull,Warner Music Group
Jewel,Warner Music Group
Jill Scott,Warner Music Group
Jill Vidal,Warner Music Group
Jimi Hendrix,Warner Music Group
The Jimi Hendrix Experience,Warner Music Group
Jimmy Eat World,Warner Music Group
Jisoo Kim,Warner Music Group
John Butler Trio,Warner Music Group
John Lennon,Warner Music Group
John Linnell,Warner Music Group
John Michael Montgomery,Warner Music Group
JoJo,Warner Music Group
Joji,Warner Music Group
Jonathan Davis,Warner Music Group
Howard Jones,Warner Music Group
Mike Jones,Warner Music Group
Quincy Jones,Warner Music Group
Spike Jones,Warner Music Group
Jools Holland,Warner Music Group
Jeremy Jordan,Warner Music Group
William Joseph,Warner Music Group
Josh Groban,Warner Music Group
Joshua Ledet,Warner Music Group
Joyce DiDonato,Warner Music Group
Joyspeed,Warner Music Group
JR JR,Warner Music Group
Judy Henske,Warner Music Group
Julia Michaels,Warner Music Group
Julien-K,Warner Music Group
Junior Prom,Warner Music Group
Junior Senior,Warner Music Group
Justice,Warner Music Group
Justin Tranter,Warner Music Group
Justine Skye,Warner Music Group
Joseph JR,Warner Music Group
K.C. & the Sunshine Band,Warner Music Group
Kacey Musgraves,Warner Music Group
Kamelot,Warner Music Group
Kate Earl,Warner Music Group
Kate Nash,Warner Music Group
Katy Tiz,Warner Music Group
Kirko Bangz,Warner Music Group
Kelani Jordan,Warner Music Group
Wiz Khalifa,Warner Music Group
Kehlani,Warner Music Group
Keith Ape,Warner Music Group
Kelly Clarkson,Warner Music Group
Kelly Key,Warner Music Group
Kenji Wu,Warner Music Group
Kevin Gates,Warner Music Group
Kep1er,Warner Music Group
Chaka Khan,Warner Music Group
Kid Abelha,Warner Music Group
Kid Rock,Warner Music Group
Kiiara,Warner Music Group
Rilo Kiley,Warner Music Group
Kill Hannah,Warner Music Group
Killswitch Engage,Warner Music Group
Kimbra,Warner Music Group
Kim Carnes,Warner Music Group
Kim Wilde,Warner Music Group
Ben E. King,Warner Music Group
King Diamond,Warner Music Group
Kinga Głyk,Warner Music Group
The Kinks,Warner Music Group
Kodak Black,Warner Music Group
Jocie Kok,Warner Music Group
Korn,Warner Music Group
Kotak,Warner Music Group
Kraftwerk,Warner Music Group
Jana Kramer,Warner Music Group
Krisko,Warner Music Group
Kwabs,Warner Music Group
Talib Kweli,Warner Music Group
Aaron Kwok,Warner Music Group
Khalil Fong,Warner Music Group
Kyary Pamyu Pamyu,Warner Music Group
Kyle,Warner Music Group
Kylie Minogue,Warner Music Group
Kyuss,Warner Music Group
Kay Trần,Warner Music Group
Larry June,Warner Music Group
Laura Izibor,Warner Music Group
Laura Pausini,Warner Music Group
Lauriana Mae,Warner Music Group
Lakuna,Warner Music Group
Lamb of God,Warner Music Group
Larry the Cable Guy,Warner Music Group
LaViVe,Warner Music Group
Lazy Mutha Fucka,Warner Music Group
Leanne & Naara,Warner Music Group
Led Zeppelin,Warner Music Group
Coco Lee,Warner Music Group
Lee Hazlewood,Warner Music Group
Leigh-Anne Pinnock,Warner Music Group
Jacquie Lee,Warner Music Group
Tom Lehrer,Warner Music Group
Leon Bolier,Warner Music Group
Leslie Grace,Warner Music Group
Donna Lewis,Warner Music Group
Huey Lewis and the News,Warner Music Group
Lewis Watson,Warner Music Group
Kelvin Tan Wei Lian,Warner Music Group
Li Ronghao,Warner Music Group
Life of Agony,Warner Music Group
Lifehouse,Warner Music Group
Lights,Warner Music Group
Lil Durk,Warner Music Group
Lil Uzi Vert,Warner Music Group
Lily Allen,Warner Music Group
Linda Thompson,Warner Music Group
Linkin Park,Warner Music Group
Little Boots,Warner Music Group
The Living End,Warner Music Group
Loossemble,Warner Music Group
Lola Amour,Warner Music Group
London Boys,Warner Music Group
London Grammar,Warner Music Group
Loona,Warner Music Group
Loreen,Warner Music Group
Lorraine Ellison,Warner Music Group
Los Lobos,Warner Music Group
Los Prisioneros,Warner Music Group
Lostprophets,Warner Music Group
Luis Miguel,Warner Music Group
Luttenberger*Klug,Warner Music Group
L.V.,Warner Music Group
Lvndscape,Warner Music Group
Lykke Li,Warner Music Group
Lynyrd Skynyrd,Warner Music Group
Lukas Graham,Warner Music Group
Lulu Santos,Warner Music Group
Luciano Ligabue,Warner Music Group
Ludmilla,Warner Music Group
Lupe Fiasco,Warner Music Group
Lim Hyung Joo,Warner Music Group
Shiga Lin,Warner Music Group
Lzzy Hale,Warner Music Group
Timo Maas,Warner Music Group
M2M,Warner Music Group
Machine Head,Warner Music Group
Macklemore & Ryan Lewis,Warner Music Group
Madilyn Bailey,Warner Music Group
Madina Lake,Warner Music Group
Madonna,Warner Music Group
The Magician,Warner Music Group
The Maine,Warner Music Group
Maite Perroni,Warner Music Group
Manowar,Warner Music Group
Maraaya,Warner Music Group
Marcelo Falcão,Warner Music Group
Marco Carta,Warner Music Group
Marina and the Diamonds,Warner Music Group
Mark Ronson,Warner Music Group
Marshmello,Warner Music Group
MARUV,Warner Music Group
Mastodon,Warner Music Group
Matt Duke,Warner Music Group
Matt Heafy,Warner Music Group
Matt Stone,Warner Music Group
Maximum the Hormone,Warner Music Group
Megan Thee Stallion,Warner Music Group
Miriam Makeba,Warner Music Group
Jessi Malay,Warner Music Group
Maná,Warner Music Group
Teairra Marí,Warner Music Group
Ziggy Marley,Warner Music Group
Dean Martin,Warner Music Group
Matchbox Twenty,Warner Music Group
MC Cheung,Warner Music Group
MC Davo,Warner Music Group
MC Solaar,Warner Music Group
Travis McCoy,Warner Music Group
Michael McDonald,Warner Music Group
Sarah McLachlan,Warner Music Group
Meese,Warner Music Group
Meg & Dia,Warner Music Group
Megadeth,Warner Music Group
Melanie Martinez,Warner Music Group
The Men They Couldn't Hang,Warner Music Group
Sérgio Mendes,Warner Music Group
Idina Menzel,Warner Music Group
Natalie Merchant,Warner Music Group
Mercyful Fate,Warner Music Group
Meshuggah,Warner Music Group
Metallica,Warner Music Group
Lucia Micarelli,Warner Music Group
Michelle Branch,Warner Music Group
Michael Bublé,Warner Music Group
Michael Sembello,Warner Music Group
Michael Learns To Rock,Warner Music Group
Migos,Warner Music Group
Luis Miguel,Warner Music Group
Milton Nascimento,Warner Music Group
Ministry,Warner Music Group
Dannii Minogue,Warner Music Group
Joni Mitchell,Warner Music Group
Mike Shinoda,Warner Music Group
Misfits,Warner Music Group
Missy Elliott,Warner Music Group
Molly Sandén,Warner Music Group
Moby,Warner Music Group
Mogwai,Warner Music Group
"Monkees, The",Warner Music Group
Monrose,Warner Music Group
Heidi Montag,Warner Music Group
Morrissey,Warner Music Group
Van Morrison,Warner Music Group
Motionless in White,Warner Music Group
Mötley Crüe,Warner Music Group
Motörhead,Warner Music Group
Mott the Hoople,Warner Music Group
Mr. President,Warner Music Group
Muse,Warner Music Group
Mutiny Within,Warner Music Group
Mutemath,Warner Music Group
My Chemical Romance,Warner Music Group
Fiona Sit,Warner Music Group
Christophe Maé,Warner Music Group
Mystery Skulls,Warner Music Group
Maggie Lindemann,Warner Music Group
Miriam Yeung,Warner Music Group
Nora Fatehi,Warner Music Group
Naff,Warner Music Group
Akina Nakamori,Warner Music Group
Needtobreathe,Warner Music Group
Nek,Warner Music Group
Nessa Barrett,Warner Music Group
Nevershoutnever,Warner Music Group
New York Dolls,Warner Music Group
New Order,Warner Music Group
Ney Matogrosso,Warner Music Group
Nickelback,Warner Music Group
Nico & Vinz,Warner Music Group
Nicole Zefanya,Warner Music Group
Nicolette Larson,Warner Music Group
Stevie Nicks,Warner Music Group
Nigel Kennedy,Warner Music Group
Nightwish,Warner Music Group
Nikhil D'Souza,Warner Music Group
Nina Simone,Warner Music Group
Nina Sky,Warner Music Group
Nine Inch Nails,Warner Music Group
Nitty Gritty Dirt Band,Warner Music Group
The Notorious B.I.G.,Warner Music Group
Nyne Milli,Warner Music Group
One Day Alive,Warner Music Group
O.T. Genasis,Warner Music Group
John Oates,Warner Music Group
Obituary,Warner Music Group
Mariana Ochoa,Warner Music Group
The Offspring,Warner Music Group
Of Mice & Men,Warner Music Group
Ofra Haza,Warner Music Group
Oingo Boingo,Warner Music Group
The O'Jays,Warner Music Group
Ol' Dirty Bastard,Warner Music Group
Olivia Chaney,Warner Music Group
Oliver Tree,Warner Music Group
Silvia Olari,Warner Music Group
Renee Olstead,Warner Music Group
Omarion,Warner Music Group
One Ok Rock,Warner Music Group
Only The Young,Warner Music Group
Opeth,Warner Music Group
Rita Ora,Warner Music Group
Natalia Oreiro,Warner Music Group
O Rappa,Warner Music Group
Orgy,Warner Music Group
Otep,Warner Music Group
Robyn Ottolini,Warner Music Group
Our Lady Peace,Warner Music Group
Overkill,Warner Music Group
Owsley,Warner Music Group
Pablo Alboran,Warner Music Group
Panic! at the Disco,Warner Music Group
Panther Chan,Warner Music Group
Paramore,Warner Music Group
Parkway Drive,Warner Music Group
Pantera,Warner Music Group
Sean Paul,Warner Music Group
Laura Pausini,Warner Music Group
Toni Pearen,Warner Music Group
Teddy Pendergrass,Warner Music Group
Pendulum,Warner Music Group
Pennywise,Warner Music Group
Periphery,Warner Music Group
Peter Bjorn and John,Warner Music Group
"Peter, Paul & Mary",Warner Music Group
Pet Shop Boys,Warner Music Group
Phil Anselmo,Warner Music Group
Phil Collins,Warner Music Group
Phineas and Ferb Soundtrack,Warner Music Group
Phish,Warner Music Group
Piso 21,Warner Music Group
P1Harmony,Warner Music Group
Pixies,Warner Music Group
Plan B,Warner Music Group
Plastic Bertrand,Warner Music Group
Plies,Warner Music Group
Pongsit Kamphee,Warner Music Group
P.O.D.,Warner Music Group
The Pogues,Warner Music Group
Porcupine Tree,Warner Music Group
Portugal. The Man,Warner Music Group
Daniel Powter,Warner Music Group
The Pretenders,Warner Music Group
Prince,Warner Music Group
Prince Paul,Warner Music Group
The Proclaimers,Warner Music Group
The Prodigy,Warner Music Group
PVRIS,Warner Music Group
Paulo Londra,Warner Music Group
Quarters of Change,Warner Music Group
Queen,Warner Music Group
Queensberry,Warner Music Group
Queensrÿche,Warner Music Group
Quest,Warner Music Group
Ramones,Warner Music Group
Rancid,Warner Music Group
Ratt,Warner Music Group
RBD,Warner Music Group
RED,Warner Music Group
R.E.M.,Warner Music Group
Leon Redbone,Warner Music Group
RedOne,Warner Music Group
Red Hot Chili Peppers,Warner Music Group
Regina Spektor,Warner Music Group
Residual Kid,Warner Music Group
Rhiannon Giddens,Warner Music Group
Damien Rice,Warner Music Group
Rita Ora,Warner Music Group
Ritchie Valens,Warner Music Group
"Richard, Cliff",Warner Music Group
Rob Thomas,Warner Music Group
Robert Plant,Warner Music Group
Roberta Flack,Warner Music Group
Roberto Frejat,Warner Music Group
Robin Beck,Warner Music Group
Robin Schulz,Warner Music Group
Rohff,Warner Music Group
Ronnie James Dio,Warner Music Group
Rosé,Warner Music Group
Roxette,Warner Music Group
Linda Ronstadt,Warner Music Group
Rush,Warner Music Group
Tom Rush,Warner Music Group
Patrice Rushen,Warner Music Group
Ruslana,Warner Music Group
Rod Stewart,Warner Music Group
Rockers Hi-Fi,Warner Music Group
Roy Woods,Warner Music Group
Rudimental,Warner Music Group
Serena Ryder,Warner Music Group
Saara Aalto,Warner Music Group
Sally Barker,Warner Music Group
Signmark,Warner Music Group
David Sanborn,Warner Music Group
Adam Sandler,Warner Music Group
Hope Sandoval,Warner Music Group
Véronique Sanson,Warner Music Group
Savage Garden,Warner Music Group
Alejandro Sanz,Warner Music Group
Sarah Brightman,Warner Music Group
Satyricon,Warner Music Group
Peter Schilling,Warner Music Group
Scorpions,Warner Music Group
Seal,Warner Music Group
Dan Seals,Warner Music Group
Secondhand Serenade,Warner Music Group
Secos & Molhados,Warner Music Group
Sepultura,Warner Music Group
Serj Tankian,Warner Music Group
Sevendust,Warner Music Group
The Sex Pistols,Warner Music Group
SF9,Warner Music Group
Serebro,Warner Music Group
Shadows Fall,Warner Music Group
The Shadows,Warner Music Group
Shane Filan,Warner Music Group
Shane Richie,Warner Music Group
Shadmehr Aghili,Warner Music Group
Ed Sheeran,Warner Music Group
Shifty,Warner Music Group
Shinedown,Warner Music Group
Shila Amzah,Warner Music Group
Shy'm,Warner Music Group
Shutter Boy,Warner Music Group
Sia,Warner Music Group
Sick of it All,Warner Music Group
Silly Fools,Warner Music Group
Silversun Pickups,Warner Music Group
Simply Red,Warner Music Group
Carly Simon,Warner Music Group
Paul Simon,Warner Music Group
Nina Simone,Warner Music Group
Simple Plan,Warner Music Group
Frank Sinatra,Warner Music Group
Nancy Sinatra,Warner Music Group
Sirenia,Warner Music Group
The Sisters of Mercy,Warner Music Group
Fiona Sit,Warner Music Group
Sixpence None the Richer,Warner Music Group
Skid Row,Warner Music Group
Skindred,Warner Music Group
Skillet,Warner Music Group
Skrillex,Warner Music Group
Slash,Warner Music Group
Slayer,Warner Music Group
Sleeping with Sirens,Warner Music Group
The Slip,Warner Music Group
Slipknot,Warner Music Group
The Smashing Pumpkins,Warner Music Group
Smile.dk,Warner Music Group
The Smiths,Warner Music Group
Molly Smitten-Downes,Warner Music Group
Phoebe Snow,Warner Music Group
Soul Coughing,Warner Music Group
Soulfly,Warner Music Group
The Sounds,Warner Music Group
Spandau Ballet,Warner Music Group
Staind,Warner Music Group
Jeffree Star,Warner Music Group
Starship,Warner Music Group
Static-X,Warner Music Group
Candi Staton,Warner Music Group
Stephane Legar,Warner Music Group
Stereolab,Warner Music Group
Steve Aoki,Warner Music Group
Al Stewart,Warner Music Group
